"year","artist","position","genre"
2015,"Major Lazer & DJ Snake",5,"pop"
2015,"Ellie Goulding",6,"pop"
2015,"Maroon 5",7,"pop"
2015,"Walk the Moon",8,"pop"
2015,"Hozier",9,"irish singer-songwriter"
2015,"Fetty Wap",10,"rap"
2016,"Sia",1,"dance"
2016,"Drake, WizKid & Kyla",2,"hip hop"
2016,"Justin Bieber",3,"pop"
2016,"The Chainsmokers & Daya",4,"edm"
2016,"Twenty One Pilots",5,"rock"
2016,"Justin Timberlake",6,"pop"
2016,"Lukas Graham",7,"pop"
2016,"Mike Posner",8,"pop"
2016,"Rihanna & Drake",9,"pop"
2016,"Justin Bieber",10,"pop"
2017,"Ed Sheeran",1,"pop"
2017,"Luis Fonsi & Daddy Yankee",2,"latin"
2017,"The Chainsmokers & Coldplay",3,"edm"
2017,"French Montana & Swae Lee",4,"hip hop"
2017,"Bruno Mars",5,"pop"
2017,"Imagine Dragons",6,"rock"
2017,"Charlie Puth",7,"pop"
2017,"Kygo & Selena Gomez",8,"edm"
2017,"Shawn Mendes",9,"pop"
2017,"Ed Sheeran",10,"pop"
2018,"Ed Sheeran",1,"pop"
2018,"Drake",2,"hip hop"
2018,"Maroon 5 & Cardi B",3,"pop"
2018,"Cardi B, Bad Bunny & J Balvin",4,"pop"
2018,"Camila Cabello & Young Thug",5,"pop"
2018,"Bebe Rexha & Florida Georgia Line",6,"pop"
2018,"Post Malone & Ty Dolla Sign",7,"rap"
2018,"Post Malone",8,"rap"
2018,"Zedd, Maren Morris & Grey",9,"complextro"
2018,"Juice WRLD",10,"rap"
2019,"Lil Nas X & Billy Ray Cyrus",1,"rap"
2019,"Billie Eilish",2,"pop"
2019,"Lewis Capaldi",3,"pop"
2019,"Shawn Mendes & Camila Cabello",4,"pop"
2019,"Post Malone & Swae Lee",5,"rap"
2019,"Ed Sheeran & Justin Bieber",6,"pop"
2019,"Post Malone",7,"rap"
2019,"Jonas Brothers",8,"boy band"
2019,"Ariana Grande",9,"pop"
2019,"Ava Max",10,"pop"
2020,"Roddy Ricch",1,"rap"
2020,"The Weeknd",2,"r&b"
2020,"Dua Lipa",3,"pop"
2020,"Post Malone",4,"rap"
2020,"Tones And I",5,"pop"
2020,"Arizona Zervas",6,"pop"
2020,"Maroon 5",7,"pop"
2020,"Lewis Capaldi",8,"pop"
2020,"Future & Drake",9,"hip hop"
2020,"Billie Eilish",10,"pop"
